AverageDiscountedReturn,MeanKLBefore,AbsLearnSignal,MeanKL,StdReturn,LossBefore,NumTrajs,ExplainedVariance,Entropy,AverageReturn,LossAfter,MinReturn,dLoss,Iteration,AveragePolicyStd,Perplexity,MaxReturn
-141.233399891,0.0,0.84971553527,0.00931093148689,24.644274267,2.22044604925e-18,40,5.54956081089e-12,1.4189385332,-221.225444087,-0.00910888568999,-291.521773911,0.00910888568999,0,1.0,4.13273135412,-173.038219572
-130.048862868,0.0,0.758941064844,0.00578976229399,23.5962646487,2.67346808803e-16,41,0.859994438498,1.39553739674,-204.541919988,-0.00778737657681,-269.598767245,0.00778737657681,1,0.976870546775,4.03714353757,-146.757307041
-136.570357465,0.0,0.757703960336,0.00790802472359,24.528977659,4.99274304393e-17,41,0.879207186214,1.38156029723,-212.141302208,-0.0116962138177,-289.266714492,0.0116962138177,2,0.963311707287,3.9811084965,-172.905549449
-135.413129917,0.0,0.699257265214,0.00841694384623,33.5888793357,-3.87637884482e-16,41,0.825523369692,1.37649033692,-212.511877538,-0.0095751400707,-316.820224999,0.0095751400707,3,0.958440114991,3.96097551427,-155.255370115
-125.87587924,0.0,0.732226369586,0.00712239154021,38.2452035058,7.40841187465e-17,41,0.818681712396,1.37659945254,-197.698977152,-0.0101215221047,-273.905036839,0.0101215221047,4,0.95854470149,3.96140774218,-23.2717436923
-124.599635894,0.0,0.746508820519,0.00704515720971,31.8137441221,7.39136124226e-17,41,0.80636545393,1.35624308931,-195.088218188,-0.0111681858017,-267.373606743,0.0111681858017,5,0.939229478204,3.88158311329,-150.013894869
-123.810313024,0.0,0.754121105358,0.00660906598758,29.3273107715,2.28636554134e-16,40,0.796627358318,1.37280347102,-192.408948807,-0.0119148296781,-264.587865115,0.0119148296781,6,0.954912980847,3.94639881641,-133.048932612
-127.341827326,0.0,0.732597135371,0.00693020250475,43.0631831922,4.3307850436e-17,41,0.706651103471,1.36843515249,-195.927819247,-0.0128784102256,-312.311468177,0.0128784102256,7,0.95075071445,3.92919728756,-91.5041153993
-120.347538477,0.0,0.671584262225,0.0060895450821,45.2347894715,7.90291303734e-19,42,0.730445868568,1.35886530093,-185.108823674,-0.0112356813357,-299.985326294,0.0112356813357,8,0.941695568551,3.89177480219,-37.4463659271
-115.486766633,0.0,0.755602851296,0.00812580828999,33.1516392611,-2.32722458923e-18,41,0.789576767216,1.35108407939,-178.314562302,-0.0125201918602,-258.423534658,0.0125201918602,9,0.93439646152,3.86160955371,-73.0940356957
-109.625400703,0.0,0.74679537069,0.00867408414609,35.2284413958,-2.28483843898e-16,42,0.737691365924,1.33794805506,-167.010214163,-0.013256742283,-238.924883901,0.013256742283,10,0.922202472482,3.81121507287,-93.2745876401
-110.689090558,0.0,0.743474817909,0.00899811634612,34.735711416,-1.62781046704e-16,41,0.754710160605,1.31586457202,-170.064421321,-0.012689630382,-242.175878062,0.012689630382,11,0.902060253567,3.72797269322,-113.036582622
-98.9221013578,0.0,0.720930973045,0.00519401590317,39.4458926596,1.6197615839e-17,43,0.67848635935,1.31068891406,-149.270993371,-0.00637157241266,-227.464451679,0.00637157241266,12,0.897403559359,3.70872782707,-9.20815065581
-96.8490179734,0.0,0.686439262242,0.00794005377803,39.9335170343,-2.86761155269e-17,43,0.71868873272,1.29537235772,-148.247501426,-0.0120601895396,-218.452173387,0.0120601895396,13,0.883763155851,3.6523557038,-28.0832231783
-97.7772574318,0.0,0.722448685032,0.00879702659058,33.5361452627,9.18495837685e-17,42,0.745910917256,1.30737773915,-149.581338197,-0.0147648282479,-209.896545565,0.0147648282479,14,0.8944370133,3.69646788915,-48.7412143242
-88.0342528907,0.0,0.759208123313,0.00770638084658,31.4735983002,-2.18325357793e-16,42,0.740523562259,1.28805738339,-130.406887827,-0.011754253417,-207.162349055,0.011754253417,15,0.877322038085,3.62573629446,-19.7435531445
-87.5954916283,0.0,0.698302009077,0.00881251964337,38.6965719075,-1.31413598329e-16,44,0.636271655062,1.24730481947,-131.303722385,-0.0106878898103,-214.12744989,0.0106878898103,16,0.842287635065,3.48094851862,-32.9555532378
