StdReturn,Entropy,LossBefore,Perplexity,Iteration,NumTrajs,AbsLearnSignal,AveragePolicyStd,MeanKLBefore,dLoss,LossAfter,AverageReturn,ExplainedVariance,MeanKL,AverageDiscountedReturn,MinReturn,MaxReturn
183.250129474,1.4189385332,-1.43884903991e-16,4.13273135412,0,40,0.783179369859,1.0,0.0,0.00658124686173,-0.00658124686173,-407.975444087,5.87085935422e-13,0.008623801607,-252.056214103,-897.963774251,-185.190146056
146.247081016,1.40604409559,-3.16629468893e-17,4.07978420299,1,42,0.787629454833,0.98718833948,0.0,0.0103391752682,-0.0103391752682,-323.302061643,0.23966373558,0.00787532228606,-199.042140772,-633.308242212,-12.213533858
246.869355273,1.39271659243,2.45058891439e-17,4.02577159224,2,42,0.668369776851,0.974118868922,0.0,0.0116186583479,-0.0116186583479,-336.579953863,0.18290143618,0.00664241027319,-219.101176786,-1294.66585156,-47.6877282051
185.758016375,1.38944498148,-1.04499742193e-17,4.01262235514,3,40,0.697458466639,0.970937138494,0.0,0.00938697126328,-0.00938697126328,-317.652096156,0.229179922101,0.00745243203516,-198.117268525,-802.362991239,-155.741312758
190.3870094,1.40255192476,2.84197097393e-17,4.06556174769,4,41,0.630349419476,0.983746921665,0.0,0.0124403382365,-0.0124403382365,-335.178870342,0.260156327645,0.00995616487765,-214.697769544,-1023.46759375,-86.0172125073
182.050419419,1.41468802779,1.62710707748e-16,4.11520243691,5,42,0.575010307504,0.995758515203,0.0,0.0126558224856,-0.0126558224856,-285.98143624,0.230682654062,0.00816036766716,-183.665251173,-1026.39987643,-55.5344449233
153.014765115,1.39461921718,-1.23326955132e-16,4.03343841611,6,43,0.659291522051,0.97597401585,0.0,0.00656550010047,-0.00656550010047,-242.594223097,0.269144814919,0.00688042395122,-153.814314864,-799.221655082,-16.5399636396
180.122503064,1.39148981391,4.49765866416e-17,4.02083589025,7,41,0.551994379296,0.972924573536,0.0,0.00996159740046,-0.00996159740046,-276.419855085,0.211551814875,0.0079688254415,-175.738943784,-1195.82553921,-90.5162613902
113.146822694,1.38684481854,-2.25040790713e-16,4.00220243581,8,41,0.693651873673,0.968415823065,0.0,0.00887969976024,-0.00887969976024,-265.67214588,0.356897724617,0.0086427971676,-169.917615584,-600.993993794,-103.003864782
104.508036223,1.40147178874,1.30799941541e-16,4.06117275877,9,41,0.64868984694,0.982684914836,0.0,0.0137127781933,-0.0137127781933,-250.270029661,0.458674873192,0.00698965451637,-166.922846642,-562.160099857,-135.382199869
151.509728128,1.39042739781,3.31559350081e-16,4.01656635784,10,41,0.648275490646,0.971891471686,0.0,0.0113529571831,-0.0113529571831,-288.608782515,0.353678735302,0.00677061021343,-191.645882541,-684.824197064,-80.0867843536
91.8509410904,1.38349070896,4.3649136316e-17,3.98880109761,11,41,0.638331350252,0.965173091552,0.0,0.011022197961,-0.011022197961,-219.736571464,0.472072299828,0.00727059851873,-145.751174585,-505.711110841,-13.0171322397
250.747889499,1.37719112844,2.19596193819e-17,3.96375230519,12,41,0.565677536381,0.9591120171,0.0,0.00980828200792,-0.00980828200792,-304.412466739,0.179522871628,0.00911534732986,-195.682027702,-1213.22157376,-31.6917756938
190.672133808,1.35983166429,1.77071117307e-16,3.89553748854,13,42,0.589301718198,0.942606028493,0.0,0.0123064871741,-0.0123064871741,-251.136970025,0.290480541091,0.00719774241426,-166.995151753,-1090.13609248,-122.564247479
132.352340195,1.34188273632,1.04175067138e-16,3.82624053019,14,41,0.535268779292,0.925838193275,0.0,0.0108591014213,-0.0108591014213,-230.715949811,0.241435702331,0.00689299988486,-150.141618135,-804.404257829,-134.622227595
71.3690521816,1.33935567049,-1.35813690391e-16,3.81658357551,15,41,0.461383843479,0.923501492954,0.0,0.0119756432124,-0.0119756432124,-199.168591596,0.466205764106,0.00689876696867,-128.311332505,-563.732288728,-32.9804233313
78.1711089487,1.32670061908,-2.23656962015e-16,3.76858884258,16,41,0.515816818952,0.911888172654,0.0,0.010978242097,-0.010978242097,-213.370473174,0.511705189469,0.00956893709667,-138.03908839,-500.589604215,-150.543475937
43.6012525952,1.32059192545,1.38240139653e-16,3.74563785957,17,43,0.721369421221,0.906334706667,0.0,0.0114565053603,-0.0114565053603,-175.002358241,0.589347533502,0.00643174760582,-114.182754163,-299.239669692,-37.2449818654
86.8091828553,1.32730989939,1.06871357002e-16,3.77088566923,18,41,0.398480076471,0.912443937462,0.0,0.00686278262385,-0.00686278262385,-199.461425053,0.408508025578,0.00837325272403,-129.563708103,-600.4118596,-58.5210539553
111.771796655,1.32596650552,-9.51980329419e-17,3.76582328568,19,44,0.537458510634,0.911218988848,0.0,0.00795505782103,-0.00795505782103,-215.028398418,0.26989517042,0.00885947740076,-138.664664925,-578.823319768,-35.1915948859
99.477168618,1.3223554358,6.12672598451e-17,3.75224915855,20,42,0.626773674136,0.90793444747,0.0,0.0124613222609,-0.0124613222609,-226.277238208,0.282299855678,0.00991183517503,-141.264801169,-584.553834792,-83.7137326527
118.703625035,1.32054056411,4.96326520931e-17,3.74544548352,21,43,0.523661930199,0.906288157294,0.0,0.0118650548867,-0.0118650548867,-212.038280748,0.297357710585,0.00828121979604,-135.667441793,-605.68670752,-24.1231166272
47.9441625252,1.31602224195,4.39740723095e-17,3.72856052879,22,43,0.688628566433,0.902202492564,0.0,0.0111988619333,-0.0111988619333,-170.153934522,0.555020222394,0.00702273348426,-111.476275165,-384.172045619,-24.9555795186
95.0744793992,1.3168970414,-4.53586348087e-16,3.73182369857,23,41,0.462011687415,0.902992084121,0.0,0.0125405133052,-0.0125405133052,-203.827149191,0.296465352087,0.00675901469958,-130.602719611,-576.673799468,-68.1219507262
63.7572548606,1.30197496116,-6.27055171371e-17,3.67655054671,24,41,0.583919411791,0.88961759952,0.0,0.0105130537511,-0.0105130537511,-198.063404783,0.52063353354,0.0058970861948,-129.02559484,-399.845935419,-93.5870234814
67.5578339216,1.29530670358,3.43752804e-17,3.6521159194,25,40,0.400800579408,0.883705135046,0.0,0.0111048446886,-0.0111048446886,-190.311540573,0.53498282422,0.00622095307426,-123.38103588,-574.353509055,-137.527395259
83.8299691935,1.27757210641,8.0520153228e-17,3.58791805894,26,41,0.438266862559,0.868171132237,0.0,0.0131214211429,-0.0131214211429,-190.065138877,0.57288102878,0.00779333750691,-127.375182706,-574.121623177,-39.9049723262
25.6593689915,1.27858122312,2.85012477963e-17,3.59154051445,27,41,0.724069679132,0.869047660422,0.0,0.0141528368917,-0.0141528368917,-164.690827131,0.828306833672,0.00904483437512,-107.371367679,-207.16705979,-34.4638866929
45.3423645473,1.27857787203,-5.66511367521e-17,3.59152847891,28,42,0.46112967102,0.869044748173,0.0,0.00864839851503,-0.00864839851503,-172.4615939,0.714903063645,0.00965263927602,-114.613986659,-371.748258298,-53.2438720104
44.175088213,1.27421636979,-7.54421436597e-17,3.57589813008,29,42,0.584637128947,0.865262661342,0.0,0.0122950345795,-0.0122950345795,-167.733767792,0.784167715511,0.00658812718744,-112.059276229,-298.6897781,-37.9905063448
48.6962892046,1.27401500029,7.21961857661e-17,3.57517812576,30,41,0.492244485904,0.865088441375,0.0,0.0120155990375,-0.0120155990375,-173.414518878,0.629795993479,0.0071602741608,-114.237304688,-389.294804766,-94.436240684
24.1830192648,1.2616644337,1.99287370521e-16,3.53129420372,31,41,0.708011515946,0.854469816964,0.0,0.015227242165,-0.015227242165,-156.473047542,0.863105407329,0.00681070325345,-102.948384479,-249.68350129,-80.8856607886
60.0558767609,1.25719226597,1.26295355842e-16,3.51553692459,32,42,0.449178601412,0.850657016716,0.0,0.0095033552312,-0.0095033552312,-161.312949887,0.473100928009,0.00603706631813,-105.700037524,-377.240717764,-24.1262710869
29.9456168917,1.25429939504,2.67173371263e-17,3.50538162608,33,42,0.671024924638,0.848199731779,0.0,0.0158871816496,-0.0158871816496,-151.905296502,0.751931609695,0.00663871302005,-99.8633370478,-203.807312754,-49.4329024898
