AverageAbsY,MinReturn,AverageQLoss,StdEsReturn,Epoch,AverageEsReturn,MaxReturn,QFunRegParamNorm,MinEsReturn,PolicyRegParamNorm,AverageDiscountedReturn,AverageAction,StdReturn,AveragePolicySurr,MaxEsReturn,AverageAbsQ,AverageQ,AverageReturn,AverageAbsQYDiff,AverageY
0.319768789762,-1102.57067789,0.0355162391498,257.351473766,10,-456.002606132,-58.521539228,8.68574987786,-1517.51596936,8.355884588,-131.416671094,0.963176021705,125.269578058,0.297275820884,-70.5770790589,0.309583253588,-0.309583253588,-191.073564181,0.106533582092,-0.319768789762
0.380378778811,-1622.71501524,0.0300671137954,431.105694276,11,-597.014250368,-38.8164198443,9.81076559698,-1326.40009823,8.47254828119,-326.832331099,0.854479428467,484.508449792,0.297410354591,-141.435434617,0.378423029923,-0.378423029923,-467.652091572,0.096592132351,-0.380378778811
0.376115862083,-1076.73685494,0.0271391859632,201.465527077,12,-284.208721276,-99.3342384254,10.6229410629,-816.010273589,8.45102198238,-212.470112694,0.513270574525,234.287128827,0.287343533064,-139.779405436,0.37519711126,-0.375194395741,-322.915651605,0.0866325232003,-0.376115862083
0.327029883236,-1040.80640015,0.0246541840263,339.096220433,13,-290.725201361,-115.113965469,11.0999320096,-1227.58822649,8.57327800936,-146.352667208,0.167093300539,152.115798766,0.273228825065,-28.7235226757,0.327073671286,-0.327073671286,-220.670760476,0.0714268370943,-0.327029883236
0.309764576235,-605.376015765,0.0245994122401,368.551351935,14,-510.882977643,-54.1287658954,11.5461121121,-1292.67850445,8.66357130399,-123.424882461,0.0546049142615,62.9526036893,0.279866257188,-149.236196042,0.309231263405,-0.309231263405,-185.917660922,0.0653527533567,-0.309764576235
0.318686707493,-800.410560785,0.0258374592866,364.575762063,15,-409.131692424,-15.3851170912,11.9692547946,-1331.06032031,8.74677208225,-206.818073544,0.441186119786,153.551157126,0.300339703144,-28.7847252348,0.318494488921,-0.318494488921,-339.209877745,0.0664471056537,-0.318686707493
0.337018222873,-804.219988403,0.0279267774429,207.132393554,16,-461.772144375,-162.100647346,12.3565182133,-885.647178799,8.82471022685,-236.666554041,0.704113060316,168.89267321,0.323744310367,-231.356462503,0.336108309145,-0.336108309145,-377.323367967,0.0683951898421,-0.337018222873
0.360886690287,-801.136623418,0.0298034161242,263.432858415,17,-432.702654684,-149.279952176,12.8044024434,-992.435059151,8.97848509123,-234.941842729,0.516240685565,128.670149158,0.346054807263,-190.070704768,0.360108006491,-0.360108006491,-389.176908735,0.0715563925135,-0.360886690287
0.380903264516,-605.414724598,0.0310507963143,154.35056444,18,-448.112627274,-12.4549761549,13.2666625866,-812.187203529,9.12687065195,-217.775537291,0.645681752164,104.304048133,0.36255502583,-210.892631605,0.380361969468,-0.380361826284,-355.89543007,0.074950149518,-0.380903264516
0.393384737818,-1006.7642612,0.0318581237922,74.8089371371,19,-274.294948701,-3.68703486998,13.6199485957,-405.73932274,9.28526152245,-234.32797278,0.660036674473,139.583840247,0.369574218955,-185.850680348,0.392982758704,-0.392977491545,-388.129148086,0.0741443426224,-0.393384737818
0.403679196747,-640.878310281,0.0326392542315,128.187653869,20,-391.088922075,-4.66605075313,13.9466251333,-699.750158051,9.4113062494,-163.240485573,0.529207257663,130.22528335,0.378805261979,-217.314445252,0.40308352701,-0.403078061614,-271.740615063,0.076451509273,-0.403673209455
0.414167960616,-612.290521422,0.0331100112864,76.0168978811,21,-274.079626998,-51.5833419882,14.2344088447,-418.310025761,9.53726380773,-211.259440048,0.839915039982,94.3481834035,0.387373870661,-200.964711078,0.413812177141,-0.413791896006,-356.531167365,0.0783458972139,-0.414149391855
0.425969292719,-807.325803297,0.0320913043138,144.724339445,22,-325.938654598,-8.16048498209,14.4417933062,-593.739354346,9.5991978897,-250.023310712,0.770765259043,150.31653743,0.402619868323,-193.832490522,0.425231353608,-0.42522472205,-419.315885218,0.0782801207144,-0.425961884932
0.435375557177,-596.994030827,0.0313459456284,101.014540534,23,-257.636509627,-6.9527599329,14.7051406081,-517.43407549,9.64871538128,-156.727810983,0.588867724663,97.7052116648,0.409618014264,-166.580861862,0.43512497305,-0.435098038575,-253.997799289,0.0769997803226,-0.435367878416
0.443797375645,-702.715383049,0.0270108772108,65.9510480814,24,-262.659763862,-7.9928165179,14.9101383669,-406.121125385,9.6716588057,-116.835395164,0.517370402462,100.916460384,0.421857082018,-187.015535008,0.442992793716,-0.442977732403,-178.159818655,0.0707869235337,-0.443794014049
0.4600152043,-715.647702782,0.0276179714904,153.663120983,25,-252.790949421,-6.67727337423,15.1335854128,-707.335892315,9.69137795189,-199.044791376,0.73644135789,131.20437207,0.442951099815,-144.212521109,0.459809736678,-0.459806795599,-337.291982694,0.0713932529265,-0.4600152043
0.473509694462,-575.985110284,0.0257401150637,127.066561681,26,-381.662562096,-9.76423709943,15.3352569503,-593.625931994,9.72965726299,-140.491639813,0.607040295957,121.649166783,0.454451403537,-216.530229772,0.472788230561,-0.472788230561,-228.272079615,0.0679906832622,-0.473509694462
0.488629019259,-496.009393603,0.025923443156,176.366216764,27,-351.212555686,-13.0269088093,15.5633338749,-579.806341168,9.76775814003,-154.591300471,0.680826276528,106.937462333,0.472402155304,-30.9665249263,0.488190837938,-0.488190837938,-252.254303625,0.0679526912283,-0.488629019259
0.504968993695,-623.776900086,0.0251083346253,124.438814267,28,-311.240822729,-7.59930129569,15.772375398,-511.053874521,9.81637962935,-163.644966769,0.616717474589,140.17408933,0.487605870259,-161.708071103,0.504373770337,-0.504373770337,-264.804943348,0.0669697800171,-0.504968993695
