StdReturn,Perplexity,AbsLearnSignal,dLoss,Iteration,LossAfter,MeanKLBefore,MaxReturn,AverageReturn,AveragePolicyStd,ExplainedVariance,MeanKL,MinReturn,NumTrajs,Entropy,AverageDiscountedReturn,LossBefore
18.8858785692,4.13273135412,0.851482664018,0.00961409090387,0,-0.00961409090387,0.0,-164.038219572,-202.550444087,1.0,7.06690261865e-12,0.00664126479335,-246.521773911,40,1.4189385332,-130.151118469,8.03246358316e-17
18.7816565689,4.06288895072,0.789949202756,0.0101662429591,1,-0.0101662429591,0.0,-158.277026523,-195.004636249,0.983100183046,0.911916854223,0.00674643800857,-237.428209046,40,1.40189428479,-124.914558074,-9.90110771149e-17
23.2847895488,4.07148179242,0.658650060119,0.0135308266309,2,-0.0135308266309,0.0,-107.144385545,-188.718394801,0.985179399179,0.881662061291,0.00957726893075,-220.480043105,41,1.40400700996,-121.534789499,1.11768233557e-17
33.4070836918,3.98630444741,0.697291895877,0.00895283044761,3,-0.00895283044761,0.0,-24.7736299,-180.834548732,0.964568975293,0.820326807314,0.00689067280677,-238.594345488,42,1.38286459805,-115.450023195,-2.19700407034e-17
20.5301246376,3.95449037243,0.712639494099,0.010449871173,4,-0.010449871173,0.0,-100.133437623,-186.763094351,0.95687090052,0.894400462699,0.00576153551973,-214.42149067,41,1.37485173639,-119.723067554,1.37793443869e-16
17.7052412075,3.9604131928,0.78251294717,0.0110741299551,5,-0.0110741299551,0.0,-142.106798858,-188.282731698,0.958304049658,0.92484521709,0.00693361518809,-223.164193811,41,1.37634836144,-120.990200251,1.32912113869e-16
33.6321188334,3.90983322166,0.663300173852,0.0110161617902,6,-0.0110161617902,0.0,-70.9093644929,-175.483480872,0.946065177393,0.760995188938,0.00686372477392,-224.438358242,43,1.36349471878,-113.547989187,-1.30381577535e-17
26.3398099633,3.90084530651,0.704610603031,0.00885301128289,7,-0.00885301128289,0.0,-44.9496641202,-176.933655584,0.943890365053,0.85220092124,0.00845567084787,-209.654745641,42,1.36119327491,-113.122647254,2.69819483246e-16
33.9499295804,3.87256492581,0.64713354503,0.0105818819537,8,-0.0105818819537,0.0,-48.0867676322,-170.369224512,0.937047340845,0.790947997473,0.00742867953385,-243.684476829,43,1.35391705903,-110.000591925,-9.22876285644e-17
40.5317090215,3.84205762352,0.655314531385,0.00942655028109,9,-0.00942655028109,0.0,-40.2682042957,-162.946562255,0.929665466807,0.714727468843,0.00694921692682,-217.41579052,43,1.34600806255,-106.085509391,3.58046925442e-17
22.6626287994,3.83271374507,0.787598166626,0.0113569987849,10,-0.0113569987849,0.0,-113.82614109,-170.445337032,0.927404521768,0.868274265308,0.00711952625829,-208.251198119,41,1.34357310192,-109.871031004,-1.41434173401e-16
41.8152521074,3.77298915536,0.657971231581,0.0119644286171,11,-0.0119644286171,0.0,-16.3830314186,-155.33727987,0.912952919526,0.722541279734,0.00789262167362,-211.276967535,44,1.3278675667,-100.566373964,8.61543938326e-18
36.6828802055,3.77349737779,0.68912027108,0.00945381454384,12,-0.00945381454384,0.0,-18.6137370696,-151.744237674,0.913075894475,0.752549780634,0.00690440844235,-215.298550704,43,1.32800225784,-98.9025672742,-1.97451228337e-17
