AverageQLoss,QFunRegParamNorm,AverageAbsQYDiff,AveragePolicySurr,AverageDiscountedReturn,AverageAbsY,AverageEsReturn,StdEsReturn,AverageQ,Epoch,AverageAction,StdReturn,MaxEsReturn,AverageY,MaxReturn,PolicyRegParamNorm,MinReturn,AverageAbsQ,MinEsReturn,AverageReturn
0.000563589072167,8.26302071398,0.0161060723228,0.019097160679,-135.76329669,0.0577111975948,-203.38352035,33.8003505111,-0.0295125237873,10,0.989374745145,25.9979040347,-53.4713005626,-0.0298720171198,-77.3089663798,8.60062712024,-263.03940461,0.0557770438248,-274.877768029,-210.374200433
0.000385145961857,8.68502259484,0.0135834293218,0.0187689700666,-135.120869046,0.0597135271618,-210.648771803,23.325297638,-0.0335875690624,11,0.997630135981,25.3546336756,-163.380373624,-0.0335699076795,-74.8324694298,8.82821882465,-258.927037686,0.0580299189477,-244.519769745,-208.961244599
0.000314982639457,9.01761222837,0.012234014261,0.0261650690228,-136.699823665,0.0611754749215,-218.765843179,18.8519444297,-0.0398147442318,12,0.999066602246,26.1865559302,-192.655097995,-0.0397824169942,-55.7946279939,8.95837671003,-274.945020059,0.0594823716792,-258.961269244,-212.018965579
0.000268667213379,9.29973306338,0.0113312652741,0.0363610795576,-136.16717631,0.0628064683029,-220.259376101,21.4466377253,-0.0479310729133,13,0.999507063918,20.3100689445,-175.16715527,-0.0479666341036,-140.581562048,9.05452464317,-261.253646684,0.0613583735492,-252.009882946,-211.699429865
0.00025946629494,9.57298281571,0.0110056669172,0.0488389569067,-138.022500586,0.0662841272181,-207.29907399,23.353638799,-0.0574582077694,14,0.999697339348,26.2941811259,-157.451665403,-0.0574954242341,-73.985610714,9.12949139799,-264.30075642,0.0652763942528,-237.843135133,-213.389359767
0.000259149642964,9.88819200606,0.0110013483322,0.0608598656043,-133.708596015,0.07258286363,-209.229408925,22.0056793162,-0.0675982024914,15,0.999863279262,33.005452367,-181.716391637,-0.0676360246321,-61.0576000887,9.20790604709,-244.033031814,0.0719046261434,-248.947503289,-206.577527425
0.000266737349534,10.1949126713,0.0112034414639,0.075579903795,-135.407027384,0.0833136555273,-216.421341346,11.7326286945,-0.0808055259143,16,0.999921131773,21.4667239973,-188.681874627,-0.0808608991409,-118.346398039,9.26355593256,-244.847475626,0.0828173550269,-231.656651977,-209.147527434
0.000248292702645,10.4610776612,0.0110614247924,0.0898325256205,-131.402450764,0.0952157419419,-213.310671912,16.4488627304,-0.0941550203369,17,0.999956324118,33.4952488261,-176.415859624,-0.0942000118065,-31.8592224595,9.31908911023,-244.452178279,0.0949405899753,-237.767953973,-202.97919348
0.000245158759381,10.7372651928,0.0111735315439,0.107071652894,-134.679890776,0.110723509794,-213.169241721,19.5193961913,-0.110359752336,18,0.999960260717,28.4871218299,-173.180464589,-0.11043917613,-62.4426707545,9.34479351287,-262.994747037,0.110591883897,-242.703223085,-209.206065606
0.000247347559442,10.9885358241,0.0113215775321,0.125512733544,-138.340071276,0.12775428937,-190.083106493,51.6631742062,-0.127641443156,19,0.998697660278,21.3823749803,-40.1992021467,-0.127702713091,-109.27573915,9.19454804685,-257.508450422,0.127689724489,-241.13535071,-214.258374943
0.00024794562069,11.2165478985,0.0115626476413,0.141141614817,-139.316957801,0.145635266898,-211.330170007,19.1427504638,-0.145565720817,20,0.997978602133,30.9569238848,-167.155480079,-0.145632362682,-53.7709165906,9.41819423629,-252.002138062,0.145568882186,-239.914611296,-214.483302523
0.00026389392011,11.4711882688,0.011842459274,0.157262663651,-140.595502828,0.160769205485,-214.468790905,18.2598396692,-0.160719021361,21,0.998375204568,16.7147745181,-176.962934591,-0.160769205485,-175.563606005,9.45900543178,-264.347008805,0.160719245415,-242.917118085,-217.190365839
0.000273393988733,11.7084989065,0.0121042295546,0.172717277656,-140.357962786,0.175420110857,-211.912724329,15.1854187515,-0.175378023861,22,0.992631098503,25.6344649751,-188.000912053,-0.175420110857,-38.553813994,9.28303284125,-253.711787003,0.175378390564,-227.827337343,-216.512855899
0.000277536788457,11.880292763,0.0122610387856,0.18795351201,-134.223112823,0.190857259403,-186.943284425,52.7476651232,-0.190810851566,23,0.906512681043,29.2511002246,-54.4231027046,-0.190857259403,-21.5941836078,9.52803272292,-247.984017237,0.190810851566,-243.604338856,-206.147038108
0.000300389068302,12.0427609894,0.0126877721049,0.203281436343,-133.124133748,0.205775549948,-203.34374018,27.7935055206,-0.205725835642,24,0.917486168282,30.3489225965,-134.875395109,-0.205775549948,-53.8657988687,9.75743169098,-255.116403026,0.205725835642,-231.339085778,-203.687183802
0.000297849893224,12.1715698661,0.0127554126188,0.217326342216,-127.018761238,0.219627213022,-207.881097857,27.1007271749,-0.219584121664,25,0.914292785199,30.9722558999,-162.465188643,-0.219627213022,-46.0122614271,9.95644558864,-237.665331841,0.219584121664,-244.058056145,-193.866473379
0.000311794130686,12.3070865567,0.0131256187675,0.232929194435,-129.048356685,0.234890129506,-195.46936182,11.0307876829,-0.234835650608,26,0.916659209968,39.5237445877,-171.20353643,-0.234890129506,-46.9811696297,10.1433978347,-245.043778588,0.234835650608,-209.440265981,-196.889795415
0.000339420628837,12.4295565735,0.0134897915318,0.246734708235,-126.374483014,0.248779352773,-203.024924782,24.1479040897,-0.248730974541,27,0.883809990414,26.348457668,-161.676392909,-0.248779352773,-120.647892114,10.2938839336,-255.593579068,0.248730974541,-241.73732331,-193.727073357
