AverageY,AverageAbsY,MaxReturn,AverageAction,StdEsReturn,Epoch,AverageDiscountedReturn,StdReturn,AverageQ,AverageEsReturn,QFunRegParamNorm,AverageReturn,MaxEsReturn,AveragePolicySurr,MinEsReturn,AverageAbsQYDiff,AverageAbsQ,MinReturn,PolicyRegParamNorm,AverageQLoss
-0.0641162427314,0.0641162427314,-3.09644530921,0.925760065883,48.8159432625,10,-137.542500408,53.3366526635,-0.0637102819173,-216.230639143,8.2855985588,-212.285767769,-5.66653618792,0.0578785486132,-320.931126586,0.00926885384519,0.0637110504248,-312.105239722,8.63051676586,0.000289466463222
-0.0720337195196,0.0720337195196,-60.3082144385,0.575943509768,33.5868478569,11,-139.447052702,51.5681475037,-0.0719712461635,-219.002714375,8.42148915291,-216.915845357,-156.913199617,0.0670998808613,-250.592833242,0.00452497791429,0.0719721216502,-303.376075142,8.5456658995,5.22062963868e-05
-0.0858114998421,0.0858114998421,-65.1803867257,0.369560067231,48.972688781,12,-135.300748037,37.7448704297,-0.0857763285126,-210.337506427,8.5617550144,-206.465078093,-114.940615962,0.0826379440752,-262.596688406,0.00350410243666,0.0857764052437,-251.499668431,8.6133413256,2.83963894813e-05
-0.102479289775,0.102479289775,-87.9574330057,0.543153290693,51.2644653399,13,-136.162722986,34.9541682399,-0.10244169431,-204.788886265,8.7030118028,-211.250401882,-109.67796378,0.100912594977,-268.529383923,0.00356826379145,0.10244169431,-279.004970665,8.73719130427,2.99952995746e-05
-0.120860475616,0.120860475616,-116.530254213,0.725156938382,19.0688221073,14,-140.696243793,30.4718743392,-0.120836118179,-217.60582789,8.80679057826,-221.159255598,-188.970850036,0.119751453755,-247.224891647,0.00339526818369,0.120836118179,-253.138465713,8.89822106182,2.57654866444e-05
-0.139420776964,0.139420776964,-54.8771947671,0.825708904427,42.8831338456,15,-136.564788385,41.0964148042,-0.139398087524,-212.118535916,8.90585337495,-210.517810123,-137.793609948,0.138366246713,-261.421603288,0.00366449047521,0.139398087524,-284.66291054,9.04237999453,3.11004179631e-05
-0.157722011243,0.157722011243,-45.0156416849,0.835055404492,50.4768155179,16,-139.916482986,41.8992139828,-0.157689692903,-205.48001831,9.00745320634,-217.201034115,-71.4253280983,0.156609403715,-248.18100739,0.00401972234562,0.157689692903,-271.547191455,9.1637514012,3.8352987374e-05
-0.175614113263,0.175614113263,-42.7305005891,0.788621658031,68.7283249998,17,-134.221689695,44.3648733448,-0.175595534291,-206.051669572,9.08683294096,-209.443483686,-75.4745616262,0.174316991081,-307.831539152,0.00442103627641,0.175595534291,-270.063027132,9.28852510612,4.67596919995e-05
-0.193642246413,0.193642246413,-51.4151893664,0.70037462047,21.3731360278,18,-132.506634747,47.9303487598,-0.193622220642,-220.414872501,9.16176933287,-205.986287308,-195.215198293,0.192004856621,-245.630172046,0.00452662252337,0.193622220642,-307.495523041,9.42682922843,5.55721745369e-05
-0.210108535251,0.210108535251,-40.8989747766,0.781018003034,57.0555742075,19,-126.003458212,50.3311897528,-0.210078416573,-182.487665546,9.23350710707,-192.061081292,-80.7446942808,0.207981158796,-280.434578492,0.00475691572854,0.210078416573,-271.560585215,9.55915712431,5.82304992741e-05
