LossAfter,ExplainedVariance,AverageDiscountedReturn,MaxReturn,LossBefore,StdReturn,Iteration,AveragePolicyStd,Entropy,MinReturn,dLoss,AbsLearnSignal,AverageReturn,MeanKL,Perplexity,NumTrajs,MeanKLBefore
-7.33104004641e-16,4.27792912205e-10,-14.2072099262,-93.048385635,-7.33104004641e-16,47.6208039311,0,1.0,1.4189385332,-311.969727507,0.0,0.881369884537,-216.639909824,0.0,4.13273135412,41,0.0
5.31406164666e-17,0.835367986557,-13.8063407768,-61.8307434494,5.31406164666e-17,47.921932676,1,1.0,1.4189385332,-301.323322163,0.0,0.768845489912,-214.175492977,0.0,4.13273135412,43,0.0
-0.0134125144615,0.859071436384,-13.7293135021,-20.3740946865,3.55227647554e-17,59.5328373446,2,1.0,1.4189385332,-326.233114096,0.0134125144615,0.771960517409,-215.039771636,0.00746752110324,4.13273135412,42,0.0
8.46664545225e-19,0.848065094515,-13.5234817653,-11.4817691382,8.46664545225e-19,64.3687553042,3,1.00021281587,1.41915132643,-304.997230165,0.0,0.780682491761,-198.34590037,0.0,4.13361086495,43,0.0
3.62184804265e-17,0.855884471558,-14.226029761,-40.6472030054,3.62184804265e-17,63.1538413714,4,1.00021281587,1.41915132643,-280.02069297,0.0,0.757903799629,-200.140725176,0.0,4.13361086495,44,0.0
4.76546475493e-17,0.856184925352,-14.548678963,-110.390586703,4.76546475493e-17,33.7317768369,5,1.00021281587,1.41915132643,-272.522433571,0.0,0.763809627073,-226.970422478,0.0,4.13361086495,41,0.0
-2.99236552682e-17,0.851578586108,-14.4833517427,-48.4358653245,-2.99236552682e-17,52.6065116592,6,1.00021281587,1.41915132643,-324.031987011,0.0,0.769047789594,-216.563551373,0.0,4.13361086495,42,0.0
2.58036872556e-17,0.854195675873,-14.3619740797,-81.2396160207,2.58036872556e-17,45.0147525742,7,1.00021281587,1.41915132643,-292.63183591,0.0,0.782799276055,-216.849773962,0.0,4.13361086495,41,0.0
-7.62886108836e-17,0.864387512024,-13.4787311003,-59.6044383608,-7.62886108836e-17,56.9391010211,8,1.00021281587,1.41915132643,-299.177731597,0.0,0.772190990436,-203.390490887,0.0,4.13361086495,43,0.0
-6.72442209135e-17,0.84699401951,-14.1770341139,-40.3140869823,-6.72442209135e-17,54.6114818827,9,1.00021281587,1.41915132643,-306.120111231,0.0,0.766695342234,-217.162127527,0.0,4.13361086495,43,0.0
1.52909837824e-17,0.858665233666,-13.475325219,-46.7488838924,1.52909837824e-17,49.2822621728,10,1.00021281587,1.41915132643,-276.781518685,0.0,0.7830632047,-207.538073868,0.0,4.13361086495,42,0.0
2.82306099171e-18,0.854762618659,-14.0245417466,-69.799942135,2.82306099171e-18,47.67349058,11,1.00021281587,1.41915132643,-259.516802663,0.0,0.770331830242,-214.1878409,0.0,4.13361086495,42,0.0
-3.68436844455e-18,0.855956324153,-13.6162209579,-73.6645201889,-3.68436844455e-18,50.9281037276,12,1.00021281587,1.41915132643,-290.441565639,0.0,0.769756678175,-215.558961794,0.0,4.13361086495,42,0.0
6.06619521208e-18,0.865443495189,-13.363314705,-69.2357010295,6.06619521208e-18,53.3792947996,13,1.00021281587,1.41915132643,-309.964693007,0.0,0.751216692754,-217.886062855,0.0,4.13361086495,42,0.0
-2.8485623014e-17,0.853952578975,-14.3236049782,-59.8899871957,-2.8485623014e-17,47.4431234166,14,1.00021281587,1.41915132643,-259.63179818,0.0,0.795881753829,-203.534519898,0.0,4.13361086495,41,0.0
-2.16223210788e-17,0.860709088754,-14.2517819597,-92.6012802485,-2.16223210788e-17,49.4837322,15,1.00021281587,1.41915132643,-286.133377146,0.0,0.763445595924,-210.10069436,0.0,4.13361086495,41,0.0
-2.60715600968e-17,0.863554217342,-14.3869386756,-103.017008266,-2.60715600968e-17,48.2630376283,16,1.00021281587,1.41915132643,-310.921317425,0.0,0.778365066034,-216.481688605,0.0,4.13361086495,42,0.0
