AverageDiscountedReturn,LossBefore,dLoss,LossAfter,AveragePolicyStd,Entropy,MinReturn,AbsLearnSignal,StdReturn,Iteration,ExplainedVariance,MaxReturn,MeanKLBefore,NumTrajs,AverageReturn,Perplexity,MeanKL
-132.749137342,-3.57214258173e-17,0.0204229320612,-0.0204229320612,0.983824730108,2.80416127936,-258.144163933,0.797168301267,27.4638464326,19,0.855685540336,-148.074053907,0.0,40,-206.222008454,16.5132201178,0.00650589160767
-132.821097667,9.14546216535e-18,0.0210686898593,-0.0210686898593,0.983018312964,2.80233291386,-251.660884863,0.773162791098,20.8396354546,20,0.887376364345,-155.358767235,0.0,40,-204.882769559,16.4830555001,0.00991055128613
-133.574876287,3.64153152077e-17,0.020871640045,-0.020871640045,0.98740345382,2.81105361511,-269.69650767,0.772486669279,21.9628539811,21,0.886214436201,-166.051861729,0.0,40,-205.080164825,16.6274279022,0.00886191160614
-126.593652417,-1.25634816786e-16,0.0207793995379,-0.0207793995379,0.988661008924,2.81345962576,-258.842732461,0.7382177928,30.548214012,22,0.812921244244,-111.834971605,0.0,41,-195.270334753,16.6674818366,0.00907440672103
-129.911751111,1.84281775579e-16,0.0252633018299,-0.0252633018299,0.989692915746,2.8161650649,-256.104903441,0.726072853555,33.9391309354,23,0.838851963181,-48.0961320513,0.0,41,-198.087656957,16.7126357473,0.00948458997322
-129.809181191,-7.54647188139e-17,0.0187048020653,-0.0187048020653,0.994759261175,2.82692217975,-231.583492929,0.799592283992,23.947907026,24,0.866275018618,-137.972143902,0.0,41,-198.317088163,16.8933859218,0.00662937664581
-128.886459846,1.42194692286e-17,0.019016268502,-0.019016268502,0.998886075462,2.83541425098,-256.27262025,0.702261972513,33.1420103493,25,0.843355509461,-44.0743384082,0.0,41,-198.042241708,17.0374566218,0.00980114880892
-127.879521744,6.06979701924e-17,0.0185540635986,-0.0185540635986,1.00008636018,2.83772885352,-231.72433198,0.72139576727,27.8439602622,26,0.844162995274,-74.2620367347,0.0,42,-195.231646674,17.0769372355,0.00966762756849
-130.343406233,-1.02329603124e-16,0.0194061044517,-0.0194061044517,0.99112526593,2.81989799516,-245.968013945,0.789831336882,23.4286425903,27,0.853774867228,-146.166210219,0.0,40,-202.277373116,16.7751394394,0.00660656463767
-128.391320025,9.37028232784e-17,0.0200380441535,-0.0200380441535,0.990888940825,2.81941815051,-274.092803263,0.780531345235,25.6561764719,28,0.853065458045,-158.890708105,0.0,40,-196.448782068,16.7670919095,0.00845793521996
-133.380689085,-3.66947470863e-17,0.0253900706471,-0.0253900706471,0.989923093474,2.81734420887,-271.90680833,0.74653040448,31.3080963675,29,0.820752705491,-105.943801417,0.0,41,-205.126306599,16.7323539741,0.00943956895096
-133.506450069,-1.72042935453e-16,0.0237610826703,-0.0237610826703,0.991995120386,2.82136099737,-253.395148561,0.761575528702,22.8564612331,30,0.883909300119,-165.99139002,0.0,40,-204.825816077,16.7996994668,0.00998586344796
-123.502180358,-8.01858510302e-17,0.0179637116106,-0.0179637116106,0.994541001581,2.82650048636,-249.79439715,0.673504710352,38.2475944544,31,0.776000640787,-51.9826362361,0.0,42,-187.618732017,16.8862635944,0.00981813487582
-125.215986584,-4.61216162264e-17,0.0202229158638,-0.0202229158638,0.992509074285,2.82252300985,-261.701401079,0.735020751372,35.4680853462,32,0.791420146974,-51.9114628051,0.0,41,-193.801893978,16.8192322737,0.00968972457318
-127.024876756,1.86682967221e-16,0.0231864209987,-0.0231864209987,0.994029799929,2.82531712658,-261.571476738,0.713131604148,35.3503814501,33,0.821624897408,-56.2859957386,0.0,41,-196.086983073,16.8662928879,0.00997380359631
-127.356788314,3.13104429228e-17,0.0172837300571,-0.0172837300571,0.98368845481,2.80411375789,-238.599380852,0.746883083938,27.2581847303,34,0.813762295678,-116.269906625,0.0,41,-194.009461696,16.5124354039,0.00652596555484
-123.809502425,1.16898980003e-16,0.0208871465291,-0.0208871465291,0.982931996252,2.8026819328,-245.975191365,0.717168288541,34.0554277421,35,0.843016713143,-40.5919586888,0.0,41,-189.395652626,16.4888094028,0.00712501021768
-126.807049136,2.52381449073e-16,0.0185339705118,-0.0185339705118,0.985445739453,2.80761990082,-226.887823478,0.775825963037,20.5320219108,36,0.867966717199,-140.539524852,0.0,40,-195.252812086,16.5704319752,0.00675398610043
-126.326653991,5.06699043331e-17,0.0215782901113,-0.0215782901113,0.976677251001,2.78963548403,-250.579786863,0.772833688197,26.0823222028,37,0.847878666433,-138.402199384,0.0,41,-192.362612391,16.2750861916,0.00945771222474
-122.191343154,6.06759250088e-17,0.0199342046677,-0.0199342046677,0.979623353436,2.79573719082,-245.000604164,0.718069100094,32.5877201032,38,0.814694080845,-48.1864664494,0.0,42,-186.605111697,16.3746955802,0.00998691041001
-125.608612592,-2.82822442973e-16,0.0167010549025,-0.0167010549025,0.981105590843,2.79875224309,-250.972738696,0.734164878272,37.7589474871,39,0.798678204341,-34.3567277299,0.0,42,-192.370582859,16.4241406454,0.00714062665879
-123.709709139,6.3257536651e-17,0.0199836446989,-0.0199836446989,0.980326036388,2.79731245175,-245.408367851,0.698619778837,41.9000506438,40,0.744022862946,-43.9551159056,0.0,42,-188.442603986,16.4005103254,0.00935349188848
-117.059774407,-7.79077393176e-17,0.0166035897861,-0.0166035897861,0.980599115769,2.79764858597,-241.040913647,0.729729866409,39.3477357862,41,0.772873017832,-39.8898973966,0.0,42,-178.612541949,16.4060240248,0.00679029733077
-127.492465405,-8.23789338257e-17,0.0226147324177,-0.0226147324177,0.977732859186,2.79160151212,-260.100730711,0.743965708785,36.3484364116,42,0.805012950431,-59.61977433,0.0,41,-197.818303752,16.3071149426,0.00995059163533
-123.929902929,-3.78186808635e-17,0.017527336868,-0.017527336868,0.974948192402,2.78567141781,-237.419921719,0.665843192516,38.9604861955,43,0.80856236662,-35.0708414497,0.0,42,-189.750831011,16.2106983753,0.00656828191567
-116.092477069,-1.61554138995e-17,0.0186987033575,-0.0186987033575,0.973729791849,2.78259386074,-224.742877578,0.698747750392,43.4745620741,44,0.720031232015,-35.2530261004,0.0,44,-173.284060231,16.1608857159,0.00970757894616
