Perplexity,MinReturn,AbsLearnSignal,NumTrajs,ExplainedVariance,LossBefore,AveragePolicyStd,Entropy,dLoss,LossAfter,MaxReturn,StdReturn,Iteration,AverageReturn,MeanKLBefore,MeanKL,AverageDiscountedReturn
4.13273135412,-254.956102902,0.841238960067,41,6.37168096063e-12,4.60951952767e-17,1.0,1.4189385332,0.0,4.60951952767e-17,-65.345793382,31.9338605029,0,-202.188811205,0.0,0.0,-133.742774624
4.13273135412,-258.12184199,0.720528871415,41,0.838579517085,-4.90868890803e-17,1.0,1.4189385332,0.0,-4.90868890803e-17,-13.7506429943,40.0304549079,1,-194.760817277,0.0,0.0,-127.380081122
4.13273135412,-248.199410044,0.78938864984,41,0.861981584303,-6.44790710717e-17,1.0,1.4189385332,0.0,-6.44790710717e-17,-140.876341068,29.7475158102,2,-204.973186753,0.0,0.0,-133.935483268
4.13273135412,-269.018775928,0.754512663141,42,0.792840728676,1.4217441947e-16,1.0,1.4189385332,0.0,1.4217441947e-16,-104.255272372,40.1221539247,3,-203.358092021,0.0,0.0,-133.580406176
4.13273135412,-277.092315795,0.770930180015,41,0.810858818464,-6.51658650184e-17,1.0,1.4189385332,0.0,-6.51658650184e-17,-117.835185381,37.0085345727,4,-205.107462738,0.0,0.0,-133.741627184
4.13273135412,-270.953890045,0.740793695845,42,0.775950196941,9.1658991066e-17,1.0,1.4189385332,0.0,9.1658991066e-17,-92.144440656,39.245610543,5,-202.087408897,0.0,0.0,-131.90241389
4.13273135412,-262.866129703,0.724653552901,43,0.728018760922,5.48774000571e-17,1.0,1.4189385332,0.0,5.48774000571e-17,-52.1921794341,47.0884991203,6,-187.912030629,0.0,0.0,-124.245016548
4.13273135412,-257.078815694,0.775360710629,40,0.863193032927,7.71743779993e-17,1.0,1.4189385332,0.0,7.71743779993e-17,-140.124625305,28.0123734561,7,-203.283228244,0.0,0.0,-132.313533721
4.13273135412,-273.619555301,0.711525369453,41,0.837888764129,-3.5260243025e-17,1.0,1.4189385332,0.0,-3.5260243025e-17,-50.6202793027,36.2459883703,8,-197.379900035,0.0,0.0,-129.671396789
4.13273135412,-258.634810125,0.782775447725,41,0.808914350172,-1.63635169755e-18,1.0,1.4189385332,0.0,-1.63635169755e-18,-136.492391386,34.4931688114,9,-196.945038624,0.0,0.0,-128.548596584
4.13273135412,-272.551376664,0.796320786926,40,0.854139051288,-2.82079914982e-16,1.0,1.4189385332,0.0,-2.82079914982e-16,-150.559014225,31.2473408038,10,-201.824864528,0.0,0.0,-131.494460544
4.13273135412,-254.286358543,0.724307593383,42,0.817361737269,-2.9935689557e-17,1.0,1.4189385332,0.0,-2.9935689557e-17,-82.9734911034,40.5987649225,11,-194.723271029,0.0,0.0,-128.689492752
4.13273135412,-271.081489151,0.780683522505,40,0.869972416262,-9.15933995316e-17,1.0,1.4189385332,0.0,-9.15933995316e-17,-147.07699597,29.3551955732,12,-203.644380618,0.0,0.0,-132.562252642
4.13273135412,-266.841281315,0.727533654362,42,0.775997458475,-6.00473999086e-17,1.0,1.4189385332,0.0,-6.00473999086e-17,-48.3737770309,41.005801709,13,-185.709561692,0.0,0.0,-121.185360596
4.13273135412,-274.017364881,0.733385361555,42,0.797980578503,3.39188852531e-17,1.0,1.4189385332,0.0,3.39188852531e-17,-25.2148972662,40.0251191541,14,-204.348835486,0.0,0.0,-134.390391314
4.13273135412,-274.886146032,0.725295484566,41,0.825326849309,4.96421611469e-17,1.0,1.4189385332,0.0,4.96421611469e-17,-90.9605598058,32.4256590866,15,-194.80069445,0.0,0.0,-127.440079834
4.13273135412,-267.232118144,0.741078662129,42,0.807222176625,-1.79816430611e-16,1.0,1.4189385332,0.0,-1.79816430611e-16,-52.5238298843,40.2755317456,16,-202.239285077,0.0,0.0,-133.910842564
4.13273135412,-253.952705157,0.793607306813,40,0.878779886165,1.56117929999e-16,1.0,1.4189385332,0.0,1.56117929999e-16,-158.750698908,21.6306029287,17,-214.193173939,0.0,0.0,-137.985080169
4.13273135412,-245.659435417,0.756473606836,41,0.822732901125,-8.47786497565e-17,1.0,1.4189385332,0.0,-8.47786497565e-17,-84.7913420925,32.4805737817,18,-195.996929302,0.0,0.0,-128.318575296
4.13273135412,-256.857560183,0.745345252255,41,0.856687405022,-1.03985870469e-16,1.0,1.4189385332,0.0,-1.03985870469e-16,-113.344766009,32.1297087046,19,-199.074602171,0.0,0.0,-130.868730364
4.13273135412,-257.990853422,0.821643803764,41,0.843956528855,2.09416732592e-16,1.0,1.4189385332,0.0,2.09416732592e-16,-138.307765407,32.3824165683,20,-203.717075547,0.0,0.0,-132.933504313
4.13273135412,-264.894176373,0.766064209547,41,0.849505046551,3.86319281812e-16,1.0,1.4189385332,0.0,3.86319281812e-16,-117.494163964,32.8204605663,21,-198.895321014,0.0,0.0,-130.366970875
4.13273135412,-243.123899321,0.709383394437,42,0.807863065317,-2.60584891381e-17,1.0,1.4189385332,0.0126015179417,-0.0126015179417,-37.0756233204,45.5638357579,22,-193.99220968,0.0,0.00958631390971,-126.892676623
4.10412200215,-255.501626646,0.738655762265,42,0.743038431728,7.11133978791e-17,0.993077374375,1.41199183505,0.0,7.11133978791e-17,-75.1781974573,40.1404919954,23,-193.515671794,0.0,0.0,-125.56611098
4.10412200215,-254.805670282,0.784711226331,41,0.810634395142,4.78258424453e-17,0.993077374375,1.41199183505,0.0,4.78258424453e-17,-102.899168818,33.6288332801,24,-192.889018604,0.0,0.0,-126.137137236
