AveragePolicySurr,AverageQ,PolicyRegParamNorm,AverageReturn,AverageAbsY,StdReturn,AverageEsReturn,MinEsReturn,MaxReturn,AverageAction,MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,Epoch,AverageY,MinReturn,AverageAbsQYDiff,QFunRegParamNorm,AverageQLoss,StdEsReturn
0.1806246782,-0.1842192579,9.3959693467,-115.013235696,0.1842492825,26.2793847459,-119.849471943,-167.043919701,-66.7332531832,0.4149781477,-54.0306007367,-77.1676654489,0.1842192579,20,-0.1842492825,-169.608518626,0.0076268607,10.653920235,0.0001140155,33.7281653458
0.1896225906,-0.1935225153,9.4851658547,-114.859963659,0.1935501925,23.5297968818,-130.998750951,-172.825992072,-71.3146778869,0.4204160174,-67.9212129002,-75.5387833787,0.1935225153,21,-0.1935501925,-142.970442436,0.00845116,10.8319792683,0.0001448314,31.2928320501
0.1983560862,-0.2027778553,9.5757979675,-106.495509205,0.202815634,24.8122905367,-114.58808773,-172.097423029,-7.7143603981,0.4564302556,-82.0012779842,-72.5388335375,0.2027778553,22,-0.202815634,-143.966452525,0.0087962254,11.0087665136,0.0001539489,30.3550017673
0.205640011,-0.2106019861,9.6788525481,-93.2572795286,0.2106315802,35.3248827159,-115.445255361,-141.442747502,-14.2142062421,0.3787144759,-75.3200865323,-66.2588869974,0.2106019861,23,-0.2106315802,-145.635843274,0.0093395782,11.1639779516,0.0001732832,23.0757431104
0.2131588911,-0.2180395352,9.7497627907,-92.8844617634,0.2180634273,38.4471612345,-106.426391854,-153.601001166,-12.7583324256,0.3616280475,-38.6215835868,-65.454036858,0.2180395352,24,-0.2180634273,-150.335046625,0.0095825153,11.2999803372,0.0001833653,37.9830853446
0.219929512,-0.2248284525,9.8080077402,-94.498484694,0.2248452385,29.8148143965,-85.3313066864,-141.39867302,-13.5504358777,0.3306791867,-11.9912921899,-66.8860985336,0.2248284525,25,-0.2248452385,-143.327923441,0.0102538241,11.4488614724,0.0002165772,35.2937776374
0.2272806895,-0.2318560376,9.8370747018,-92.7604763817,0.2319148331,30.527961443,-95.8472964471,-147.515007895,-15.697567511,0.3442774592,-28.8907118571,-66.4364854866,0.2318560376,26,-0.2319148331,-147.006406145,0.0105064305,11.5910635436,0.0002310972,38.3148378274
0.2350764679,-0.239569027,9.8707479878,-91.3917830466,0.2396021516,33.9683356832,-111.935472793,-143.850426989,-2.2741862642,0.3622934449,-49.4859384649,-64.7280236849,0.239569027,27,-0.2396021516,-147.590832699,0.0105758729,11.7136064113,0.0002295205,30.9976611279
0.2410312037,-0.2458876225,9.9118033608,-99.2679051517,0.2459055773,32.8160855758,-100.806226807,-167.970466598,-10.6738032818,0.3295296897,-54.2308848563,-68.8449771105,0.2458876225,28,-0.2459055773,-152.736640546,0.0110840623,11.8600522886,0.0002580763,36.4024589795
0.2478747054,-0.2527787789,9.9550774263,-112.174503409,0.2528437964,31.5833132486,-127.192569779,-158.394786496,-16.0786336407,0.2927809528,-55.4225444816,-75.3743773736,0.2527787789,29,-0.2528437964,-179.940303447,0.0113961917,12.003885305,0.0002817142,29.3362981239
0.2537431976,-0.2588139958,9.9990690678,-116.541283551,0.2588478274,31.4174366527,-115.194831149,-165.085094665,-49.7951522039,0.2600516272,-43.8804147269,-78.4713263732,0.2588139958,30,-0.2588478274,-172.25547501,0.0116097227,12.1392033377,0.0002910874,36.9643752143
