MaxReturn,AverageDiscountedReturn,ExplainedVariance,StdReturn,Perplexity,Entropy,NumTrajs,AbsLearnSignal,MinReturn,AverageReturn,MeanKL,Iteration,LossAfter,dLoss,MeanKLBefore,LossBefore,AveragePolicyStd
-65.345793382,-133.742774624,6.37168096063e-12,31.9338605029,4.13273135412,1.4189385332,41,0.841238960067,-254.956102902,-202.188811205,0.00867678958424,0,-0.0103683867145,0.0103683867145,0.0,4.60951952767e-17,1.0
-76.4815524843,-130.69829401,0.806134015984,36.1570921265,4.09348091235,1.40939568691,41,0.739717288045,-258.010869441,-200.492345434,0.0062673565386,1,-0.0104658156617,0.0104658156617,0.0,-1.49439828433e-17,0.990502542166
-107.141719225,-129.607923356,0.819874991614,34.7858134829,4.12152026085,1.41622209065,41,0.747418325563,-260.67331805,-197.681117469,0.00705280706173,2,-0.00902690254332,0.00902690254332,0.0,4.38187600061e-17,0.997287243638
-76.3664516156,-121.990304867,0.749505787606,37.9082391517,4.16236143373,1.42608256556,42,0.704462671588,-267.727765551,-186.591530501,0.00617226630964,3,-0.0106260929687,0.0106260929687,0.0,-5.4933483156e-17,1.00716961183
-98.1670321917,-124.37385021,0.79489287934,32.6048389621,4.13982023278,1.42065236486,42,0.769902991129,-243.362517857,-189.28889586,0.00941105833321,4,-0.0156321917491,0.0156321917491,0.0,6.54785109059e-17,1.0017153011
-117.62134671,-115.392970766,0.830908124133,31.3952759572,4.13181118131,1.41871585353,41,0.806736591406,-243.468361597,-177.885900605,0.00741268102722,5,-0.0117023730506,0.0117023730506,0.0,4.2059899808e-17,0.999777345119
-50.1818221651,-110.942742347,0.701648430215,37.5632981182,4.0772043175,1.40541153725,43,0.724062742175,-237.74708061,-166.706062426,0.00693485152141,6,-0.00845526457773,0.00845526457773,0.0,-2.38022388765e-16,0.986564082719
-117.228009552,-116.803996265,0.778733494564,38.5303357474,4.04621397104,1.39778162194,41,0.80774869899,-259.077476033,-179.592038147,0.00787735848061,7,-0.0127301738669,0.0127301738669,0.0,-1.61112442831e-16,0.979065326133
-117.858362302,-115.378486167,0.799329081863,31.3032717652,4.05962921616,1.40109164337,41,0.802704396825,-243.287992077,-174.603024472,0.00648135263551,8,-0.0130702411999,0.0130702411999,0.0,-1.17383168738e-16,0.982311422714
-67.8132822008,-108.207273673,0.760941230824,38.6766252419,4.06203350697,1.40168371201,42,0.784291675453,-234.004500551,-161.557430963,0.00770868281747,9,-0.0153272615507,0.0153272615507,0.0,2.67740424897e-17,0.982893190701
-19.1270387629,-101.753623867,0.676457475822,51.2456094621,4.03514109283,1.39504126835,44,0.70367177475,-240.018826822,-154.295022225,0.00654721958746,10,-0.0138237169772,0.0138237169772,0.0,1.89777039185e-17,0.976386013768
-36.8749028527,-109.455856461,0.778240390159,39.5258016922,4.07235147468,1.40422059052,42,0.732892224772,-250.545060263,-164.280136357,0.00742214086239,11,-0.0152096529805,0.0152096529805,0.0,-6.90413921587e-17,0.985389836824
-87.5294860507,-104.136543275,0.803411187896,34.2716292535,4.02989507943,1.39374034074,42,0.765372369628,-231.745467723,-155.504789236,0.00688232955932,12,-0.0160747151365,0.0160747151365,0.0,7.5460471205e-17,0.975116632105
-103.720864733,-107.197763503,0.837686587841,33.0264487166,3.97370716944,1.37969945481,41,0.771679405206,-232.889049964,-160.75570219,0.00613198121845,13,-0.0142395157447,0.0142395157447,0.0,6.94717091453e-17,0.961520802818
-72.6359618064,-96.0166202708,0.736121932861,35.6902479582,3.97134825474,1.37910564781,42,0.765564882287,-219.564814423,-144.362058433,0.00783010260983,14,-0.0170768743204,0.0170768743204,0.0,5.09150370738e-17,0.960950014518
-102.429881186,-100.010350512,0.84333541443,29.1128178947,3.94866537674,1.37337764251,41,0.776639875818,-229.579132925,-150.390842408,0.00582777756133,15,-0.0110945720706,0.0110945720706,0.0,-1.71495420672e-16,0.955461422094
-26.7866354001,-90.973738253,0.708498365136,37.5671986848,3.98857624793,1.38343433713,43,0.760278907209,-216.668746643,-134.366058165,0.00744343897251,16,-0.0126593491617,0.0126593491617,0.0,-7.4754469139e-17,0.96511868451
-28.1938419535,-93.7317246702,0.728754777516,39.9221682496,3.93253138216,1.36928333612,43,0.750051072544,-230.204476349,-136.762789778,0.00634834822873,17,-0.0145561293079,0.0145561293079,0.0,-6.13673325437e-17,0.951557467735
-1.56047252203,-89.1505692146,0.755889333161,40.3370159697,3.82025387906,1.3403168809,44,0.762786572691,-204.101888296,-129.64676865,0.0064673531192,18,-0.0151819991087,0.0151819991087,0.0,-4.23569149993e-17,0.924389598963
-33.8999817515,-81.4752017663,0.685775486108,40.9655161995,3.81063902438,1.33779689801,44,0.752972936958,-202.32268901,-119.375991597,0.00668876583176,19,-0.0144035957514,0.0144035957514,0.0,8.38823014663e-17,0.922063085611
-33.7710577448,-86.2189170896,0.68983531272,41.1349068942,3.76621100473,1.32606945754,43,0.722631313883,-203.43729773,-125.767793278,0.00721354182166,20,-0.0134460175493,0.0134460175493,0.0,-2.86004597299e-16,0.911312805506
