LossAfter,Iteration,MeanKL,dLoss,StdReturn,AverageReturn,AbsLearnSignal,Perplexity,ExplainedVariance,LossBefore,Entropy,AveragePolicyStd,MinReturn,NumTrajs,AverageDiscountedReturn,MeanKLBefore,MaxReturn
-0.00858070381275,0,0.00681002710701,0.00858070381275,47.6208039311,-216.639909824,0.844324695209,4.13273135412,5.10580466795e-12,-1.78953130298e-16,1.4189385332,1.0,-311.969727507,41,-141.765317478,0.0,-93.048385635
-0.013504286224,1,0.0093575822044,0.013504286224,42.9192450027,-226.509905725,0.707228835352,4.08978738066,0.775447958848,-1.30303410682e-16,1.40849298354,0.989608815628,-315.822888816,42,-147.409737196,0.0,-67.6826662344
-0.0143986155257,2,0.00942926022557,0.0143986155257,51.6500415315,-199.671873644,0.773618890659,4.10068330284,0.716129347221,4.23969981157e-16,1.41115361905,0.992245309812,-260.079458977,43,-130.777978376,0.0,-57.5518955585
-0.00989948499137,3,0.00571087830658,0.00989948499137,44.0155432907,-217.003126828,0.791822198118,4.06717178916,0.826461245467,-3.83546385737e-17,1.40294786581,0.984136504568,-274.10049977,41,-143.392219526,0.0,-80.2611128052
-0.00930583567154,4,0.0066610056513,0.00930583567154,43.8316670506,-209.152617024,0.771592771439,4.08445460765,0.821313352781,-1.29480778178e-17,1.40718820842,0.988318440679,-300.138691229,42,-138.804911326,0.0,-75.9966544692
-0.0120528740186,5,0.00829871154635,0.0120528740186,55.8336467237,-208.204365341,0.704629488506,4.05389176694,0.754160259977,1.49781567819e-16,1.39967734983,0.980923127969,-314.420027729,43,-136.830603405,0.0,-13.0442913722
-0.0168763525453,6,0.00831391855599,0.0168763525453,55.9180436265,-204.891892067,0.713742468933,4.03170077992,0.771349739264,-3.91305845297e-17,1.39418831669,0.975553558763,-300.623923588,42,-134.251958462,0.0,-8.05907205322
-0.00774319211258,7,0.00692528131256,0.00774319211258,54.9370284993,-202.533449056,0.741741554136,3.9991510256,0.745620834495,-4.36129638104e-17,1.38608209499,0.967677471125,-298.097445084,43,-133.544478,0.0,-63.5281824156
-0.0115792195318,8,0.00906379367481,0.0115792195318,34.7980463787,-217.923315019,0.771424939497,3.98800372532,0.859820380839,-3.2096235443e-17,1.38329078623,0.964980150801,-289.836296972,41,-142.839313177,0.0,-122.790080483
-0.0152091491663,9,0.00681128367707,0.0152091491663,49.2394407994,-198.129438141,0.762983714553,4.02073068956,0.776161556233,-1.42917761877e-16,1.39146364969,0.97289911805,-277.007806932,43,-132.650228634,0.0,-81.5072339296
-0.0075536918975,10,0.00598790164268,0.0075536918975,60.0714510718,-200.228861642,0.678918732614,4.03628828507,0.779197722941,-1.45818764543e-16,1.39532552835,0.976663600706,-304.784641916,44,-131.99770502,0.0,-12.2508782722
-0.012493807324,11,0.00757414314242,0.012493807324,53.1492310696,-191.760470708,0.771256237658,4.07355432622,0.769595324307,1.18613367254e-16,1.40451591718,0.985680891683,-247.177727377,44,-128.465527156,0.0,-27.1164287402
-0.0140132821725,12,0.00688579220366,0.0140132821725,43.1714861292,-204.726557009,0.780988902417,4.11049505541,0.814666287824,6.10622663544e-17,1.41354347269,0.994619466691,-273.951456973,41,-138.155963477,0.0,-95.0057635706
-0.0190875972992,13,0.00993914776016,0.0190875972992,61.1212689519,-200.397944234,0.683428101983,4.15210750665,0.711302964442,-2.06164480284e-16,1.42361603827,1.00468846167,-314.522974746,43,-131.922467431,0.0,-14.5575592715
-0.0164700197731,14,0.00939130835268,0.0164700197731,54.2527561171,-197.596670044,0.726279822837,4.08416261515,0.750156756299,-3.30220181683e-17,1.40711671713,0.988247787042,-289.575800948,43,-130.554959358,0.0,-31.0826584975
-0.0112458819378,15,0.00697485105412,0.0112458819378,51.1580497137,-192.694745531,0.717661369008,4.03057163235,0.732435668154,2.80459926998e-17,1.39390821015,0.975280338105,-278.823590776,43,-129.10939049,0.0,-63.1750712722
-0.0169225810006,16,0.00772955160064,0.0169225810006,59.2154128961,-197.28986656,0.713126828137,3.99008124551,0.739690489342,7.34444239783e-17,1.38381159298,0.965482849866,-297.105175999,44,-132.622460439,0.0,-30.2670241146
-0.0141365965727,17,0.0066771929311,0.0141365965727,46.2603789727,-203.373594518,0.726689603034,4.02051294378,0.772822174618,-6.00268039856e-19,1.39140949245,0.972846429945,-257.475441028,42,-133.141672884,0.0,-37.804903732
-0.0165902419463,18,0.00812848984764,0.0165902419463,57.3039562512,-199.180990854,0.708947789198,4.0238378335,0.726194730744,6.06431315719e-17,1.39223613216,0.97365095592,-290.689522409,43,-130.905241208,0.0,-49.2291434174
-0.0209419748917,19,0.00950052959383,0.0209419748917,58.2545315134,-187.700017327,0.727023396456,4.00448960654,0.759772133457,2.13541293402e-16,1.38741613333,0.968969251423,-251.010442302,44,-125.579421384,0.0,-2.16703695296
-0.0152597233571,20,0.00671297844068,0.0152597233571,50.530099698,-199.775620886,0.700081609572,4.01304866376,0.74786365359,-3.31624167071e-16,1.38955121774,0.971040292701,-308.559758011,42,-131.608347417,0.0,-41.6731252105
-0.0206496013633,21,0.00821643206913,0.0206496013633,52.2254133349,-179.391746726,0.732515583644,3.98956841887,0.754125559273,-9.18492239649e-17,1.38368305935,0.965358760832,-233.37334445,43,-121.25216526,0.0,-39.955925671
-0.0151018413461,22,0.00975976709685,0.0151018413461,44.3221037722,-201.777608322,0.728962785539,4.0004125049,0.786231757799,-4.20239974506e-17,1.38639748203,0.967982712185,-315.369575753,41,-134.418562731,0.0,-88.9177916664
